product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
287bb41f-e680-50dc-bb50-8b3b5d6d7f99,VARMORA BALCA OAK,clean,15,0,0,0,4,4,4,
2ef93fed-a737-57c3-8dad-6f15273d4cd5,VARMORA TIAMA BROWN,clean,30,0,0,0,231,231,231,
40f2590e-f3f3-5269-b568-b10a57795480,VARMORA OAK WOOD BEIGE,clean,2,0,0,0,46,46,46,
6eeb0942-a4ac-53fb-9514-dfd2afefe835,VARMORA ASAD WHITE,clean,2,0,0,0,214,214,214,
80752e30-9065-58e4-a427-dc7d67f8c5b7,VARMORA CAMPHOR NATURAL,clean,24,0,0,0,1,1,1,
86d23e85-8cac-5d2a-8713-f6e76b442de8,VARMORA NATURAL WOOD BROWN,clean,12,0,0,0,58,58,58,
8cd7e0d1-bc37-51dd-b808-00eb4a5b8ba6,VARMORA ALDER WOOD NATURAL,clean,13,0,0,0,0,0,0,
de05de2e-a43b-5383-9006-6a60666f5a3f,VARMORA HEALWOOD COFFEE,clean,22,0,0,0,52,52,52,
f084743f-b7f7-5489-87fc-08556b5b3036,VARMORA BALCA MAHOGANY,clean,18,0,0,0,32,32,32,
f45f99be-fc1a-554d-8a65-c98221dde6de,VARMORA BIRCH WOOD BEIGE,clean,7,0,0,0,8,8,8,
ff946d63-b57f-56c7-85f2-ca9d98520283,VARMORA TIAMA BEIGE,clean,18,0,0,0,45,45,45,
14ee97de-49c6-5ed1-8b9a-5a4934792533,BARCELONA HECTOR 614,clean,57,0,0,0,238,238,238,
80d717a5-bb48-5612-a757-7c97344daa91,BARCELONA ANAMUDI 604,clean,108,0,0,0,340,340,340,
ff5cbb2e-4ced-54f2-8cb9-f440feb64ccc,EDDICA ELEGANT GRIS,clean,28,0,0,0,0,0,0,
edd2bbbe-6f53-56e2-82f1-8fdaf238cc11,VARMORA MATTLAB NERO,clean,3,0,0,0,14,14,14,
01b88801-ced1-54c1-b5f4-ce4858632048,BARCELONA 21235 HL1,clean,5,0,0,0,59,59,59,
024b46be-51cd-5da1-96f8-e175bca83eec,VARMORA AVENUE BIANCO,clean,5,0,0,0,5,5,5,
